USA,Database,Name,Accession,Type,Length,X.GC,Organism,id
fasta::trinity_out.Trinity.fasta:TRINITY_DN12537_c5_g2_i1,-,TRINITY_DN12537_c5_g2_i1,-,N,216,21.76,NA,TRINITY_DN12537_c5_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN12734_c4_g4_i1,-,TRINITY_DN12734_c4_g4_i1,-,N,209,22.01,NA,TRINITY_DN12734_c4_g4_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN13280_c0_g4_i1,-,TRINITY_DN13280_c0_g4_i1,-,N,327,22.94,NA,TRINITY_DN13280_c0_g4_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN13407_c1_g2_i1,-,TRINITY_DN13407_c1_g2_i1,-,N,229,20.96,NA,TRINITY_DN13407_c1_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN16397_c0_g1_i2,-,TRINITY_DN16397_c0_g1_i2,-,N,217,23.96,NA,TRINITY_DN16397_c0_g1_i2
fasta::trinity_out.Trinity.fasta:TRINITY_DN16443_c0_g2_i1,-,TRINITY_DN16443_c0_g2_i1,-,N,216,22.22,NA,TRINITY_DN16443_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN16537_c3_g1_i1,-,TRINITY_DN16537_c3_g1_i1,-,N,225,21.78,NA,TRINITY_DN16537_c3_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN16661_c1_g1_i2,-,TRINITY_DN16661_c1_g1_i2,-,N,232,22.41,NA,TRINITY_DN16661_c1_g1_i2
fasta::trinity_out.Trinity.fasta:TRINITY_DN17034_c0_g1_i1,-,TRINITY_DN17034_c0_g1_i1,-,N,206,23.3,NA,TRINITY_DN17034_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN17391_c0_g3_i1,-,TRINITY_DN17391_c0_g3_i1,-,N,213,23,NA,TRINITY_DN17391_c0_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN18092_c0_g2_i1,-,TRINITY_DN18092_c0_g2_i1,-,N,724,23.9,NA,TRINITY_DN18092_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN18044_c3_g1_i1,-,TRINITY_DN18044_c3_g1_i1,-,N,267,23.22,NA,TRINITY_DN18044_c3_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN19808_c0_g3_i1,-,TRINITY_DN19808_c0_g3_i1,-,N,207,21.26,NA,TRINITY_DN19808_c0_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN20020_c1_g1_i1,-,TRINITY_DN20020_c1_g1_i1,-,N,255,23.92,NA,TRINITY_DN20020_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN20135_c0_g3_i1,-,TRINITY_DN20135_c0_g3_i1,-,N,282,22.7,NA,TRINITY_DN20135_c0_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN20177_c0_g1_i1,-,TRINITY_DN20177_c0_g1_i1,-,N,415,22.65,NA,TRINITY_DN20177_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN21183_c1_g1_i1,-,TRINITY_DN21183_c1_g1_i1,-,N,233,23.61,NA,TRINITY_DN21183_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN21952_c6_g1_i1,-,TRINITY_DN21952_c6_g1_i1,-,N,205,23.41,NA,TRINITY_DN21952_c6_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN22159_c0_g2_i1,-,TRINITY_DN22159_c0_g2_i1,-,N,236,22.88,NA,TRINITY_DN22159_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN22457_c0_g1_i1,-,TRINITY_DN22457_c0_g1_i1,-,N,211,22.27,NA,TRINITY_DN22457_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN22442_c3_g1_i1,-,TRINITY_DN22442_c3_g1_i1,-,N,299,23.08,NA,TRINITY_DN22442_c3_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN23893_c0_g1_i1,-,TRINITY_DN23893_c0_g1_i1,-,N,218,20.64,NA,TRINITY_DN23893_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN24163_c1_g1_i1,-,TRINITY_DN24163_c1_g1_i1,-,N,295,22.03,NA,TRINITY_DN24163_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN24464_c0_g1_i1,-,TRINITY_DN24464_c0_g1_i1,-,N,249,23.29,NA,TRINITY_DN24464_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN24662_c0_g1_i1,-,TRINITY_DN24662_c0_g1_i1,-,N,268,22.39,NA,TRINITY_DN24662_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN25476_c0_g1_i1,-,TRINITY_DN25476_c0_g1_i1,-,N,216,23.61,NA,TRINITY_DN25476_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN25476_c0_g1_i2,-,TRINITY_DN25476_c0_g1_i2,-,N,217,23.5,NA,TRINITY_DN25476_c0_g1_i2
fasta::trinity_out.Trinity.fasta:TRINITY_DN25416_c2_g1_i1,-,TRINITY_DN25416_c2_g1_i1,-,N,248,23.39,NA,TRINITY_DN25416_c2_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN25742_c3_g1_i1,-,TRINITY_DN25742_c3_g1_i1,-,N,232,22.41,NA,TRINITY_DN25742_c3_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN25804_c0_g1_i1,-,TRINITY_DN25804_c0_g1_i1,-,N,415,23.61,NA,TRINITY_DN25804_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN26061_c0_g2_i1,-,TRINITY_DN26061_c0_g2_i1,-,N,329,23.4,NA,TRINITY_DN26061_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN26298_c0_g2_i1,-,TRINITY_DN26298_c0_g2_i1,-,N,201,18.91,NA,TRINITY_DN26298_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN27023_c0_g2_i1,-,TRINITY_DN27023_c0_g2_i1,-,N,264,23.86,NA,TRINITY_DN27023_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN27932_c0_g1_i1,-,TRINITY_DN27932_c0_g1_i1,-,N,206,21.84,NA,TRINITY_DN27932_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN28011_c1_g1_i1,-,TRINITY_DN28011_c1_g1_i1,-,N,475,23.79,NA,TRINITY_DN28011_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN28616_c0_g1_i1,-,TRINITY_DN28616_c0_g1_i1,-,N,305,23.61,NA,TRINITY_DN28616_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN29011_c0_g1_i1,-,TRINITY_DN29011_c0_g1_i1,-,N,385,22.6,NA,TRINITY_DN29011_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN30268_c1_g1_i1,-,TRINITY_DN30268_c1_g1_i1,-,N,251,23.11,NA,TRINITY_DN30268_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN30758_c4_g1_i2,-,TRINITY_DN30758_c4_g1_i2,-,N,204,23.53,NA,TRINITY_DN30758_c4_g1_i2
fasta::trinity_out.Trinity.fasta:TRINITY_DN30819_c0_g1_i1,-,TRINITY_DN30819_c0_g1_i1,-,N,223,19.73,NA,TRINITY_DN30819_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN31414_c0_g5_i1,-,TRINITY_DN31414_c0_g5_i1,-,N,225,24,NA,TRINITY_DN31414_c0_g5_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN31429_c0_g1_i1,-,TRINITY_DN31429_c0_g1_i1,-,N,236,21.61,NA,TRINITY_DN31429_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN31562_c0_g1_i1,-,TRINITY_DN31562_c0_g1_i1,-,N,208,23.08,NA,TRINITY_DN31562_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN31655_c0_g1_i1,-,TRINITY_DN31655_c0_g1_i1,-,N,244,23.77,NA,TRINITY_DN31655_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN32065_c0_g1_i1,-,TRINITY_DN32065_c0_g1_i1,-,N,230,23.91,NA,TRINITY_DN32065_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN32195_c0_g1_i1,-,TRINITY_DN32195_c0_g1_i1,-,N,250,23.6,NA,TRINITY_DN32195_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN32695_c0_g2_i1,-,TRINITY_DN32695_c0_g2_i1,-,N,245,22.86,NA,TRINITY_DN32695_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN32699_c0_g3_i1,-,TRINITY_DN32699_c0_g3_i1,-,N,233,22.75,NA,TRINITY_DN32699_c0_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN32771_c0_g2_i1,-,TRINITY_DN32771_c0_g2_i1,-,N,204,23.53,NA,TRINITY_DN32771_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN33014_c0_g3_i1,-,TRINITY_DN33014_c0_g3_i1,-,N,362,23.2,NA,TRINITY_DN33014_c0_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN33040_c0_g1_i1,-,TRINITY_DN33040_c0_g1_i1,-,N,205,20.98,NA,TRINITY_DN33040_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN33182_c0_g1_i1,-,TRINITY_DN33182_c0_g1_i1,-,N,348,23.56,NA,TRINITY_DN33182_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN34083_c0_g1_i1,-,TRINITY_DN34083_c0_g1_i1,-,N,208,21.63,NA,TRINITY_DN34083_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN34218_c0_g1_i1,-,TRINITY_DN34218_c0_g1_i1,-,N,220,23.64,NA,TRINITY_DN34218_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN34437_c0_g3_i1,-,TRINITY_DN34437_c0_g3_i1,-,N,238,23.53,NA,TRINITY_DN34437_c0_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN34484_c0_g1_i1,-,TRINITY_DN34484_c0_g1_i1,-,N,340,22.65,NA,TRINITY_DN34484_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN34525_c0_g1_i1,-,TRINITY_DN34525_c0_g1_i1,-,N,466,23.82,NA,TRINITY_DN34525_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN34879_c0_g1_i1,-,TRINITY_DN34879_c0_g1_i1,-,N,201,19.9,NA,TRINITY_DN34879_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN35684_c0_g1_i1,-,TRINITY_DN35684_c0_g1_i1,-,N,310,22.9,NA,TRINITY_DN35684_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN35787_c0_g1_i1,-,TRINITY_DN35787_c0_g1_i1,-,N,554,22.2,NA,TRINITY_DN35787_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN36020_c1_g1_i1,-,TRINITY_DN36020_c1_g1_i1,-,N,233,23.61,NA,TRINITY_DN36020_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN36123_c0_g1_i1,-,TRINITY_DN36123_c0_g1_i1,-,N,211,22.27,NA,TRINITY_DN36123_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN36545_c0_g1_i1,-,TRINITY_DN36545_c0_g1_i1,-,N,239,23.43,NA,TRINITY_DN36545_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN36933_c1_g1_i1,-,TRINITY_DN36933_c1_g1_i1,-,N,209,23.44,NA,TRINITY_DN36933_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN37035_c0_g1_i1,-,TRINITY_DN37035_c0_g1_i1,-,N,295,21.69,NA,TRINITY_DN37035_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN37400_c0_g2_i1,-,TRINITY_DN37400_c0_g2_i1,-,N,272,23.9,NA,TRINITY_DN37400_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN37398_c0_g1_i1,-,TRINITY_DN37398_c0_g1_i1,-,N,260,23.85,NA,TRINITY_DN37398_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN37693_c0_g1_i1,-,TRINITY_DN37693_c0_g1_i1,-,N,583,23.33,NA,TRINITY_DN37693_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN37722_c0_g2_i1,-,TRINITY_DN37722_c0_g2_i1,-,N,202,23.76,NA,TRINITY_DN37722_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN37831_c2_g1_i1,-,TRINITY_DN37831_c2_g1_i1,-,N,252,22.22,NA,TRINITY_DN37831_c2_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN38089_c1_g1_i1,-,TRINITY_DN38089_c1_g1_i1,-,N,224,21.88,NA,TRINITY_DN38089_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN38074_c0_g1_i1,-,TRINITY_DN38074_c0_g1_i1,-,N,279,23.3,NA,TRINITY_DN38074_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN38355_c0_g2_i1,-,TRINITY_DN38355_c0_g2_i1,-,N,226,21.68,NA,TRINITY_DN38355_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN39015_c7_g1_i1,-,TRINITY_DN39015_c7_g1_i1,-,N,205,23.41,NA,TRINITY_DN39015_c7_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN39107_c0_g2_i1,-,TRINITY_DN39107_c0_g2_i1,-,N,221,19.46,NA,TRINITY_DN39107_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN39205_c0_g1_i1,-,TRINITY_DN39205_c0_g1_i1,-,N,259,23.17,NA,TRINITY_DN39205_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN39994_c0_g2_i1,-,TRINITY_DN39994_c0_g2_i1,-,N,256,23.83,NA,TRINITY_DN39994_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN39936_c0_g1_i1,-,TRINITY_DN39936_c0_g1_i1,-,N,323,23.22,NA,TRINITY_DN39936_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN40685_c0_g1_i1,-,TRINITY_DN40685_c0_g1_i1,-,N,289,20.76,NA,TRINITY_DN40685_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN40812_c0_g2_i1,-,TRINITY_DN40812_c0_g2_i1,-,N,324,22.53,NA,TRINITY_DN40812_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN41252_c1_g1_i1,-,TRINITY_DN41252_c1_g1_i1,-,N,237,23.21,NA,TRINITY_DN41252_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN41366_c1_g1_i1,-,TRINITY_DN41366_c1_g1_i1,-,N,205,23.9,NA,TRINITY_DN41366_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN41415_c0_g1_i1,-,TRINITY_DN41415_c0_g1_i1,-,N,258,22.09,NA,TRINITY_DN41415_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN42039_c0_g1_i1,-,TRINITY_DN42039_c0_g1_i1,-,N,361,22.44,NA,TRINITY_DN42039_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN42081_c0_g2_i1,-,TRINITY_DN42081_c0_g2_i1,-,N,300,22,NA,TRINITY_DN42081_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN42234_c0_g1_i1,-,TRINITY_DN42234_c0_g1_i1,-,N,278,23.74,NA,TRINITY_DN42234_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN42232_c0_g1_i1,-,TRINITY_DN42232_c0_g1_i1,-,N,260,19.62,NA,TRINITY_DN42232_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN42319_c1_g1_i1,-,TRINITY_DN42319_c1_g1_i1,-,N,268,23.88,NA,TRINITY_DN42319_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN42694_c0_g1_i1,-,TRINITY_DN42694_c0_g1_i1,-,N,239,21.76,NA,TRINITY_DN42694_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN43286_c0_g1_i1,-,TRINITY_DN43286_c0_g1_i1,-,N,286,23.78,NA,TRINITY_DN43286_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN43410_c0_g2_i1,-,TRINITY_DN43410_c0_g2_i1,-,N,227,22.91,NA,TRINITY_DN43410_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN43514_c0_g2_i1,-,TRINITY_DN43514_c0_g2_i1,-,N,217,22.12,NA,TRINITY_DN43514_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN43866_c0_g1_i1,-,TRINITY_DN43866_c0_g1_i1,-,N,720,23.06,NA,TRINITY_DN43866_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN44124_c0_g1_i1,-,TRINITY_DN44124_c0_g1_i1,-,N,242,23.97,NA,TRINITY_DN44124_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN44348_c0_g1_i1,-,TRINITY_DN44348_c0_g1_i1,-,N,374,22.99,NA,TRINITY_DN44348_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN44456_c0_g1_i1,-,TRINITY_DN44456_c0_g1_i1,-,N,250,22.4,NA,TRINITY_DN44456_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN44773_c0_g1_i1,-,TRINITY_DN44773_c0_g1_i1,-,N,257,23.74,NA,TRINITY_DN44773_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN44847_c0_g1_i1,-,TRINITY_DN44847_c0_g1_i1,-,N,220,23.18,NA,TRINITY_DN44847_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN45040_c0_g1_i1,-,TRINITY_DN45040_c0_g1_i1,-,N,257,23.74,NA,TRINITY_DN45040_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN45874_c0_g1_i1,-,TRINITY_DN45874_c0_g1_i1,-,N,205,21.46,NA,TRINITY_DN45874_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN46405_c1_g1_i1,-,TRINITY_DN46405_c1_g1_i1,-,N,243,23.46,NA,TRINITY_DN46405_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN47484_c0_g1_i1,-,TRINITY_DN47484_c0_g1_i1,-,N,209,22.97,NA,TRINITY_DN47484_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN48455_c0_g1_i2,-,TRINITY_DN48455_c0_g1_i2,-,N,205,23.9,NA,TRINITY_DN48455_c0_g1_i2
fasta::trinity_out.Trinity.fasta:TRINITY_DN48910_c0_g2_i1,-,TRINITY_DN48910_c0_g2_i1,-,N,248,22.98,NA,TRINITY_DN48910_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN48900_c0_g1_i1,-,TRINITY_DN48900_c0_g1_i1,-,N,257,22.96,NA,TRINITY_DN48900_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN49208_c0_g1_i1,-,TRINITY_DN49208_c0_g1_i1,-,N,266,22.93,NA,TRINITY_DN49208_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN49619_c0_g1_i1,-,TRINITY_DN49619_c0_g1_i1,-,N,220,20.91,NA,TRINITY_DN49619_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN49716_c0_g2_i1,-,TRINITY_DN49716_c0_g2_i1,-,N,234,21.79,NA,TRINITY_DN49716_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN49741_c0_g1_i1,-,TRINITY_DN49741_c0_g1_i1,-,N,210,23.81,NA,TRINITY_DN49741_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN50456_c0_g1_i1,-,TRINITY_DN50456_c0_g1_i1,-,N,232,21.98,NA,TRINITY_DN50456_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN50527_c0_g1_i1,-,TRINITY_DN50527_c0_g1_i1,-,N,213,23,NA,TRINITY_DN50527_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN51665_c4_g1_i1,-,TRINITY_DN51665_c4_g1_i1,-,N,227,23.35,NA,TRINITY_DN51665_c4_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN51650_c1_g2_i1,-,TRINITY_DN51650_c1_g2_i1,-,N,283,22.26,NA,TRINITY_DN51650_c1_g2_i1
